Date,Open,,,,,
10-May-16,460.52,,,,,
9-May-16,458.21,,,,,
8-May-16,458.43,,,,,
7-May-16,459.64,,,,,
6-May-16,447.94,,,,,
5-May-16,446.71,,,,,
4-May-16,450.18,,,,,
3-May-16,444.73,,,,,
2-May-16,451.93,,,,,
1-May-16,448.48,,,,,
30-Apr-16,455.18,,,,,
29-Apr-16,449.41,,,,,
28-Apr-16,445.04,,,,,
27-Apr-16,466.26,,,,,
26-Apr-16,461.65,,,,,
25-Apr-16,459.12,,,,,
24-Apr-16,450.56,,,,,
23-Apr-16,445.86,,,,,
22-Apr-16,449.69,,,,,
21-Apr-16,441.42,,,,,
20-Apr-16,435.32,,,,,
19-Apr-16,428.7,,,,,
18-Apr-16,427.61,,,,,
17-Apr-16,430.64,,,,,
16-Apr-16,429.57,,,,,
15-Apr-16,424.43,,,,,
14-Apr-16,423.94,,,,,
13-Apr-16,425.63,,,,,
12-Apr-16,422.84,,,,,
11-Apr-16,421.87,,,,,
10-Apr-16,419.59,,,,,
9-Apr-16,420.81,,,,,
8-Apr-16,422.91,,,,,
7-Apr-16,423.62,,,,,
6-Apr-16,424.28,,,,,
5-Apr-16,421.02,,,,,
4-Apr-16,421.3,,,,,
3-Apr-16,421.17,,,,,
2-Apr-16,418.42,,,,,
1-Apr-16,416.76,,,,,
31-Mar-16,415.26,,,,,
30-Mar-16,416.83,,,,,
29-Mar-16,424.3,,,,,
28-Mar-16,426.55,,,,,
27-Mar-16,418.14,,,,,
26-Mar-16,417.37,,,,,
25-Mar-16,416.51,,,,,
24-Mar-16,418.42,,,,,
23-Mar-16,418.16,,,,,
22-Mar-16,413.13,,,,,
21-Mar-16,413.42,,,,,
20-Mar-16,410.4,,,,,
19-Mar-16,409.26,,,,,
18-Mar-16,420.55,,,,,
17-Mar-16,417.89,,,,,
16-Mar-16,416.89,,,,,
15-Mar-16,416.39,,,,,
14-Mar-16,414.2,,,,,
13-Mar-16,411.65,,,,,
12-Mar-16,421.61,,,,,
11-Mar-16,417.24,,,,,
10-Mar-16,414.74,,,,,
9-Mar-16,413.89,,,,,
8-Mar-16,414.46,,,,,
7-Mar-16,407.76,,,,,
6-Mar-16,400.52,,,,,
5-Mar-16,410.78,,,,,
4-Mar-16,421.84,,,,,
3-Mar-16,423.91,,,,,
2-Mar-16,435.13,,,,,
1-Mar-16,437.92,,,,,
29-Feb-16,433.44,,,,,
28-Feb-16,432.57,,,,,
27-Feb-16,432.84,,,,,
26-Feb-16,424.63,,,,,
25-Feb-16,425.04,,,,,
24-Feb-16,420.96,,,,,
23-Feb-16,438.25,,,,,
